ano;origem;part;valor
2004;Judiciário;1º Decil;2386.5
2004;Legislativo;1º Decil;793.66
2004;Estadual;1º Decil;898.38
2004;Executivo Estadual;1º Decil;887.36
2004;Judiciário Estadual;1º Decil;2110.92
2004;Legislativo Estadual;1º Decil;1444.03
2004;Federal;1º Decil;1592.84
2004;Executivo Federal;1º Decil;1515.68
2004;Judiciário Federal;1º Decil;4591.12
2004;Legislativo Federal;1º Decil;1339.31
2004;Municipal;1º Decil;578.71
2004;Executivo Municipal;1º Decil;578.71
2004;Legislativo Municipal;1º Decil;644.85
2003;Público;1º Decil;627.02
2003;Executivo;1º Decil;621.71
2003;Judiciário;1º Decil;2407.12
2003;Legislativo;1º Decil;807.69
2003;Estadual;1º Decil;860.83
2003;Executivo Estadual;1º Decil;839.57
2003;Judiciário Estadual;1º Decil;1976.71
2003;Legislativo Estadual;1º Decil;1392.2
2003;Federal;1º Decil;1711.02
2003;Executivo Federal;1º Decil;1679.14
2003;Judiciário Federal;1º Decil;4197.85
2003;Legislativo Federal;1º Decil;1269.98
2003;Municipal;1º Decil;563.26
2003;Executivo Municipal;1º Decil;557.94
2003;Legislativo Municipal;1º Decil;648.28
2002;Público;1º Decil;654.34
2002;Executivo;1º Decil;643.79
2002;Judiciário;1º Decil;2416.85
2002;Legislativo;1º Decil;897.08
2002;Estadual;1º Decil;944.58
2002;Executivo Estadual;1º Decil;918.19
2002;Judiciário Estadual;1º Decil;1963.03
2002;Legislativo Estadual;1º Decil;1509.21
2002;Federal;1º Decil;1883.87
2002;Executivo Federal;1º Decil;1804.72
2002;Judiciário Federal;1º Decil;3535.56
2002;Legislativo Federal;1º Decil;1530.32
2002;Municipal;1º Decil;564.63
2002;Executivo Municipal;1º Decil;559.36
2002;Legislativo Municipal;1º Decil;680.73
2001;Público;1º Decil;653.49
2001;Executivo;1º Decil;643.2
2001;Judiciário;1º Decil;2351.54
2001;Legislativo;1º Decil;946.79
2001;Estadual;1º Decil;921.06
2001;Executivo Estadual;1º Decil;905.63
2001;Judiciário Estadual;1º Decil;1651.74
2001;Legislativo Estadual;1º Decil;1615.72
2001;Federal;1º Decil;2094.26
2001;Executivo Federal;1º Decil;2022.22
2001;Judiciário Federal;1º Decil;3576.19
2001;Legislativo Federal;1º Decil;1713.48
2001;Municipal;1º Decil;555.72
2001;Executivo Municipal;1º Decil;555.72
2001;Legislativo Municipal;1º Decil;679.22
2000;Público;1º Decil;660.39
2000;Executivo;1º Decil;655.68
2000;Judiciário;1º Decil;2386.85
2000;Legislativo;1º Decil;1000.02
2000;Estadual;1º Decil;905.68
2000;Executivo Estadual;1º Decil;886.81
2000;Judiciário Estadual;1º Decil;1641.55
2000;Legislativo Estadual;1º Decil;1693.44
2000;Federal;1º Decil;2042.5
2000;Executivo Federal;1º Decil;1981.18
2000;Judiciário Federal;1º Decil;3778.39
2000;Legislativo Federal;1º Decil;1768.91
2000;Municipal;1º Decil;537.75
2000;Executivo Municipal;1º Decil;537.75
2000;Legislativo Municipal;1º Decil;693.41
1999;Público;1º Decil;620.27
1999;Executivo;1º Decil;611.15
1999;Judiciário;1º Decil;2326.01
1999;Legislativo;1º Decil;1003.38
1999;Estadual;1º Decil;775.34
1999;Executivo Estadual;1º Decil;766.22
1999;Judiciário Estadual;1º Decil;1536.99
1999;Legislativo Estadual;1º Decil;1655.57
1999;Federal;1º Decil;2070.61
1999;Executivo Federal;1º Decil;2066.05
1999;Judiciário Federal;1º Decil;3621.28
1999;Legislativo Federal;1º Decil;1879.05
1999;Municipal;1º Decil;506.25
1999;Executivo Municipal;1º Decil;501.69
1999;Legislativo Municipal;1º Decil;652.2
1998;Público;1º Decil;625.73
1998;Executivo;1º Decil;616.73
1998;Judiciário;1º Decil;2228.34
1998;Legislativo;1º Decil;985.87
1998;Estadual;1º Decil;774.29
1998;Executivo Estadual;1º Decil;760.79
1998;Judiciário Estadual;1º Decil;1517.07
1998;Legislativo Estadual;1º Decil;1683.63
1998;Federal;1º Decil;1895.21
1998;Executivo Federal;1º Decil;1859.2
1998;Judiciário Federal;1º Decil;3650.87
1998;Legislativo Federal;1º Decil;2457.92
1998;Municipal;1º Decil;499.69
1998;Executivo Municipal;1º Decil;495.19
1998;Legislativo Municipal;1º Decil;666.25
1997;Público;1º Decil;595.18
1997;Executivo;1º Decil;586.5
1997;Judiciário;1º Decil;2189.58
1997;Legislativo;1º Decil;999.21
1997;Estadual;1º Decil;686.42
1997;Executivo Estadual;1º Decil;673.38
1997;Judiciário Estadual;1º Decil;1455.38
1997;Legislativo Estadual;1º Decil;1650.88
1997;Federal;1º Decil;1716.04
1997;Executivo Federal;1º Decil;1681.29
1997;Judiciário Federal;1º Decil;3705.78
1997;Legislativo Federal;1º Decil;2385.08
1997;Municipal;1º Decil;490.92
1997;Executivo Municipal;1º Decil;486.57
1997;Legislativo Municipal;1º Decil;638.63
1996;Público;1º Decil;597.38
1996;Executivo;1º Decil;593.14
1996;Judiciário;1º Decil;1872.64
1996;Legislativo;1º Decil;982.93
1996;Estadual;1º Decil;660.93
1996;Executivo Estadual;1º Decil;648.22
1996;Judiciário Estadual;1º Decil;1330.34
1996;Legislativo Estadual;1º Decil;1677.75
1996;Federal;1º Decil;1787.91
1996;Executivo Federal;1º Decil;1762.49
1996;Judiciário Federal;1º Decil;3041.99
1996;Legislativo Federal;1º Decil;2398.0
1996;Municipal;1º Decil;504.17
1996;Executivo Municipal;1º Decil;504.17
1996;Legislativo Municipal;1º Decil;605.86
1995;Público;1º Decil;580.84
